setup...ptcl num 
dens 0.173638 0.173638
dens 0.172263 0.172263
dens 0.169305 0.169305
dens 0.174661 0.174661
dens 0.170013 0.170013
dens 0.171858 0.171858
dens 0.175694 0.175694
dens 0.172552 0.172552
dens 0.171926 0.171926
dens 0.17287 0.17287
dens 0.176428 0.176428
dens 0.173922 0.173922
dens 0.174209 0.174209
dens 0.170238 0.170238
dens 0.175125 0.175125
dens 0.171717 0.171717
dens 0.174528 0.174528
dens 0.174411 0.174411
dens 0.176151 0.176151
dens 0.171151 0.171151
dens 0.172421 0.172421
dens 0.172198 0.172198
dens 0.172437 0.172437
dens 0.173511 0.173511
dens 0.170006 0.170006
